category_number,drxfcsd,level,parent,max_level_by_num,max_level_skips,ancestors,branch
11541130,"milk shake, home recipe, chocolate, light",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11541130"
11541135,"milk shake, home recipe, flavors other than chocolate, light",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11541135"
11541400,milk shake with malt,4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11541400"
11541500,"milk shake, made with skim milk, chocolate",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11541500"
11541510,"milk shake, made with skim milk, flavors other than chocolate",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11541510"
11542000,"carry-out milk shake, ns as to flavor",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11542000"
11542100,"milk shake, fast food, chocolate",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11542100"
11542200,"milk shake, fast food, flavors other than chocolate",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11542200"
11543000,"milk shake, bottled, chocolate",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11543000"
11543010,"milk shake, bottled, flavors other than chocolate",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11543010"
11551050,licuado or batido,4,7220,4,4,"0,7220,7200,8","0,7220,7200,8,11551050"
11553000,"fruit smoothie drink, made with fruit or fruit juice and dairy products",4,7204,4,4,"0,7204,7200,8","0,7204,7200,8,11553000"
11553100,"fruit smoothie, nfs",4,7220,4,4,"0,7220,7200,8","0,7220,7200,8,11553100"
11553110,"fruit smoothie, with whole fruit and dairy",4,7220,4,4,"0,7220,7200,8","0,7220,7200,8,11553110"
11553120,"fruit smoothie, with whole fruit and dairy, added protein",4,7220,4,4,"0,7220,7200,8","0,7220,7200,8,11553120"
11553130,"fruit smoothie juice drink, with dairy",4,7220,4,4,"0,7220,7200,8","0,7220,7200,8,11553130"
11560000,chocolate milk drink,4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11560000"
11561000,cafe con leche,4,7302,4,4,"0,7302,7300,8","0,7302,7300,8,11561000"
11561010,cafe con leche prepared with sugar,4,7302,4,4,"0,7302,7300,8","0,7302,7300,8,11561010"
